wine,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality
4783,0.3544303797468354,0.23783783783783785,0.4065040650406504,0.1763803680981595,0.12811387900355872,0.1254355400696864,0.27378190255220414,0.19838056680161742,0.2777777777777777,0.3604651162790698,0.14876033057851235,0.0
2382,0.37974683544303794,0.07567567567567568,0.22764227642276424,0.05828220858895705,0.07117437722419931,0.041811846689895474,0.22737819025522038,0.12261422787738496,0.46296296296296324,0.27906976744186046,0.39669421487603307,1.0
2303,0.37974683544303794,0.3891891891891892,0.14634146341463414,0.17177914110429449,0.14946619217081852,0.08362369337979095,0.27146171693735494,0.2003084634663601,0.4537037037037037,0.30232558139534876,0.18181818181818166,0.0
4254,0.4556962025316455,0.22702702702702704,0.19512195121951217,0.14263803680981596,0.17437722419928828,0.08013937282229966,0.24593967517401388,0.16502795450163887,0.37962962962962976,0.27906976744186046,0.47933884297520657,0.0
1593,0.5949367088607593,0.08648648648648649,0.3983739837398374,0.10276073619631901,0.12099644128113879,0.024390243902439025,0.12529002320185612,0.1578947368421062,0.36111111111111116,0.4302325581395348,0.4132231404958677,0.0
2742,0.5189873417721518,0.16216216216216217,0.22764227642276424,0.03220858895705522,0.13879003558718864,0.1637630662020906,0.3619489559164733,0.15596684017736706,0.4814814814814814,0.5813953488372092,0.24793388429752072,0.0
2969,0.3544303797468354,0.12972972972972974,0.24390243902439024,0.012269938650306747,0.05693950177935945,0.05226480836236934,0.15545243619489557,0.07576633892423601,0.34259259259259256,0.25581395348837205,0.4958677685950412,0.0
702,0.34177215189873406,0.32432432432432434,0.14634146341463414,0.00920245398773006,0.11743772241992884,0.0627177700348432,0.17401392111368907,0.10776942355889929,0.44444444444444464,0.26744186046511625,0.3471074380165289,0.0
46,0.29113924050632906,0.4,0.21138211382113822,0.05828220858895705,0.1921708185053381,0.21254355400696864,0.45707656612528996,0.13283208020050097,0.4907407407407409,0.3488372093023256,0.2975206611570249,0.0
3784,0.32911392405063283,0.1837837837837838,0.21951219512195122,0.2576687116564417,0.19572953736654808,0.09407665505226481,0.3039443155452436,0.20532099479467902,0.42592592592592604,0.31395348837209297,0.3471074380165289,0.0
1464,0.5189873417721518,0.3891891891891892,0.3983739837398374,0.1303680981595092,0.07829181494661924,0.15331010452961671,0.32946635730858465,0.10584152689416015,0.38888888888888884,0.05813953488372098,0.7768595041322313,1.0
1998,0.5696202531645569,0.12972972972972974,0.3089430894308943,0.17177914110429449,0.1637010676156584,0.17073170731707318,0.37354988399071926,0.2562174667437809,0.5555555555555554,0.6976744186046511,0.14876033057851235,0.0
2894,0.3164556962025316,0.04864864864864865,0.2926829268292683,0.012269938650306747,0.12455516014234877,0.06968641114982578,0.13689095127610207,0.058415268941583776,0.37962962962962976,0.3255813953488372,0.611570247933884,1.0
1432,0.32911392405063283,0.3027027027027027,0.3983739837398374,0.035276073619631906,0.07473309608540926,0.04878048780487805,0.19721577726218098,0.05957200694042797,0.3333333333333335,0.31395348837209297,0.6776859504132229,1.0
3068,0.2784810126582277,0.10810810810810811,0.3089430894308943,0.02607361963190184,0.08540925266903918,0.09059233449477352,0.23665893271461713,0.04839020628494595,0.38888888888888884,0.31395348837209297,0.7272727272727273,0.0
3052,0.2151898734177215,0.12972972972972974,0.5365853658536586,0.14723926380368096,0.12099644128113879,0.26480836236933797,0.38515081206496515,0.14247156352419665,0.22222222222222232,0.2441860465116279,0.39669421487603307,1.0
2973,0.34177215189873406,0.16216216216216217,0.24390243902439024,0.21932515337423314,0.14946619217081852,0.10801393728222997,0.25290023201856143,0.21669558511663567,0.2777777777777777,0.372093023255814,0.165289256198347,0.0
