id,date_block_num,shop_id,item_id,item_cnt_month,city_code,item_category_id,subject_code,group_code,subgroup_code,year,month
0,0,25,2088,1.0,15,58,268,13,28,2013,1
1,0,25,2090,2.0,15,55,268,13,6,2013,1
2,0,25,2092,1.0,15,56,268,13,7,2013,1
3,0,25,2100,1.0,15,55,268,13,6,2013,1
4,0,25,2102,1.0,15,55,268,13,6,2013,1
5,0,25,2103,1.0,15,55,268,13,6,2013,1
6,0,25,2106,1.0,15,55,268,13,6,2013,1
7,0,25,2108,1.0,15,55,269,13,6,2013,1
8,0,25,2111,1.0,15,55,269,13,6,2013,1
9,0,25,2117,1.0,15,55,271,13,6,2013,1
10,0,25,2121,1.0,15,55,271,13,6,2013,1
11,0,25,2122,1.0,15,58,271,13,28,2013,1
12,0,25,2123,1.0,15,55,271,13,6,2013,1
13,0,25,2149,1.0,15,59,286,13,38,2013,1
14,0,25,2151,1.0,15,59,286,13,38,2013,1
15,0,25,2160,1.0,15,56,286,13,7,2013,1
16,0,25,2164,1.0,15,58,286,13,28,2013,1
17,0,25,2179,4.0,15,55,291,13,6,2013,1
18,0,25,2186,1.0,15,58,291,13,28,2013,1
19,0,25,2189,2.0,15,59,291,13,38,2013,1
20,0,25,2199,0.0,15,58,294,13,28,2013,1
21,0,25,2202,1.0,15,58,298,13,28,2013,1
22,0,25,2209,1.0,15,58,299,13,28,2013,1
23,0,25,2220,1.0,15,75,305,15,31,2013,1
24,0,25,2221,1.0,15,75,305,15,31,2013,1
25,0,25,2222,1.0,15,55,307,13,6,2013,1
26,0,25,2225,1.0,15,55,311,13,6,2013,1
27,0,25,2235,1.0,15,49,319,12,37,2013,1
28,0,25,2252,7.0,15,30,255,9,50,2013,1
29,0,25,2253,2.0,15,19,255,6,13,2013,1
30,0,25,2254,1.0,15,23,255,6,19,2013,1
31,0,25,2255,1.0,15,28,255,9,32,2013,1
32,0,25,2256,2.0,15,28,255,9,32,2013,1
33,0,25,2257,3.0,15,28,255,9,32,2013,1
34,0,25,2258,5.0,15,28,255,9,32,2013,1
35,0,25,2281,8.0,15,19,255,6,13,2013,1
36,0,25,2321,1.0,15,28,255,9,32,2013,1
37,0,25,2333,1.0,15,30,255,9,50,2013,1
38,0,25,2340,1.0,15,19,255,6,13,2013,1
39,0,25,2389,2.0,15,19,288,6,13,2013,1
40,0,25,2412,1.0,15,75,306,15,31,2013,1
41,0,25,2415,3.0,15,30,309,9,50,2013,1
42,0,25,2416,8.0,15,30,309,9,50,2013,1
43,0,25,2417,6.0,15,30,309,9,50,2013,1
44,0,25,2437,3.0,15,19,322,6,13,2013,1
